Year,Station,StartDepth,EndDepth
1994,1,2.4384,5.4864
1994,2,5.4864,8.8392
1994,4,9.144,5.4864
1994,5,4.8768,3.6576
1994,1,3.048,4.572
1994,2,7.62,4.572
1994,4,3.048,5.7912
1994,9,5.4864,6.4008
1994,1,3.9624,9.4488
1994,5,4.572,3.3528
1994,6,7.3152,10.668
1994,7,3.6576,3.6576
1994,1,6.096,4.8768
1994,6,10.9728,4.8768
1994,6,7.3152,9.7536
1994,7,3.6576,3.3528
1994,3,6.7056,6.096
1994,9,5.1816,6.4008
1994,9,4.8768,6.096
1994,1,2.7432,4.572
1994,3,3.3528,7.3152
1994,4,10.0584,6.4008
1994,5,5.4864,3.048
1994,1,2.1336,4.2672
1994,4,1.8288,7.3152
1994,8,6.096,2.19456
1994,9,5.4864,7.0104
1994,3,4.2672,6.4008
1994,4,3.3528,3.048
1994,7,3.9624,4.8768
1994,8,6.7056,2.4384
1994,1,2.7432,6.4008
1994,6,9.7536,7.0104
1994,8,6.096,4.8768
1994,4,2.34696,3.3528
1994,6,8.5344,10.9728
1994,2,4.8768,6.096
1994,4,8.2296,5.1816
1994,9,0.88392,6.096
1994,3,3.048,5.4864
1994,2,6.096,3.9624
1994,7,3.9624,4.572
1994,8,6.4008,2.1336
1994,1,2.286,3.9624
1994,4,3.048,5.4864
1994,2,6.7056,6.096
1994,3,6.096,3.048
1994,8,7.0104,2.4384
1994,7,3.3528,2.7432
1994,9,5.1816,6.7056
1995,5,6.096,4.2672
1995,6,7.62,7.3152
1995,9,5.7912,7.0104
1995,5,5.1816,3.9624
1995,4,2.22504,6.4008
1995,6,8.2296,6.4008
1995,8,6.096,1.9812
1995,3,1.49352,6.7056
1995,4,2.1336,5.1816
1995,1,2.7432,4.572
1995,4,2.1336,5.7912
1995,1,3.048,2.1336
1995,3,9.144,2.4384
1995,1,2.65176,0.4572
1995,9,4.8768,6.7056
1995,3,8.5344,15.8496
1995,4,1.58496,4.572
1995,2,4.572,7.3152
1995,4,1.8288,5.4864
1995,1,3.9624,3.048
1995,3,8.2296,6.4008
1995,9,4.572,4.572
1995,2,4.572,6.7056
1995,3,10.9728,7.0104
1995,4,8.2296,5.4864
1995,6,5.7912,7.0104
1995,7,4.2672,0
1995,3,10.0584,6.7056
1995,4,2.7432,5.1816
1995,5,3.6576,2.46888
1995,2,4.8768,3.048
1995,6,6.096,7.9248
1995,8,8.8392,7.3152
1995,9,4.572,5.7912
1995,1,8.5344,2.7432
1995,5,4.2672,7.9248
1995,6,5.7912,4.572
1995,2,4.572,2.34696
1995,1,7.3152,3.6576
1995,3,10.668,8.2296
1995,5,4.8768,2.4384
1995,6,5.1816,3.048
1995,8,7.0104,3.9624
1995,5,3.6576,4.572
1995,8,10.0584,3.048
1995,3,9.144,6.7056
1995,4,3.048,5.1816
1995,5,3.048,3.048
1995,7,3.3528,7.62
1995,9,4.8768,6.4008
1996,1,6.096,2.25552
1996,9,4.2672,6.4008
1996,6,5.4864,23.1648
1996,9,4.8768,6.4008
1996,1,7.62,3.048
1996,8,2.95656,3.048
1996,2,5.1816,1.76784
1996,8,1.85928,3.3528
1996,7,3.3528,3.048
1996,5,3.9624,3.3528
1996,8,2.04216,4.8768
1996,9,4.8768,3.048
1996,1,3.9624,4.8768
1996,3,10.3632,6.096
1996,4,5.4864,5.7912
1996,5,3.6576,3.9624
1996,9,3.048,2.4384
1996,5,0,3.9624
1996,6,5.4864,5.1816
1996,8,10.3632,3.3528
1996,2,4.8768,4.2672
1996,7,2.7432,3.3528
1996,6,6.096,6.4008
1996,2,3.048,1.31064
1996,7,3.9624,3.6576
1996,1,8.2296,2.7432
1996,2,4.2672,3.048
1996,3,10.0584,4.8768
1996,6,5.1816,23.1648
1996,9,4.572,6.7056
1996,2,4.8768,1.8288
1996,9,5.1816,7.62
1996,4,8.5344,8.5344
1996,2,5.1816,1.92024
1996,5,3.6576,6.7056
1996,8,6.096,3.048
1996,6,5.7912,3.048
1997,5,4.2672,3.048
1997,6,4.572,5.4864
1997,5,3.6576,3.3528
1997,8,6.096,2.1336
1997,7,5.1816,4.8768
1997,9,4.2672,5.7912
1997,2,4.2672,6.096
1997,8,5.7912,1.95072
1997,5,2.86512,3.048
1997,6,5.1816,2.1336
1997,7,2.7432,4.2672
1997,1,3.6576,2.83464
1997,9,3.3528,6.096
1997,9,4.8768,4.8768
1997,2,3.9624,3.6576
1997,4,5.7912,5.4864
1997,8,6.096,2.37744
1997,4,5.7912,7.9248
1997,7,3.048,3.3528
1997,5,3.048,3.048
1997,9,4.8768,6.096
1997,2,4.2672,4.8768
1997,7,2.95656,5.1816
1997,4,6.7056,5.7912
1997,2,2.7432,1.524
1997,5,3.3528,3.6576
1997,3,9.7536,6.4008
1997,7,2.8956,3.9624
1998,5,3.048,3.6576
1998,9,2.7432,0.6096
1998,7,2.56032,3.9624
1998,9,2.7432,6.096
1998,1,5.1816,3.048
1998,7,2.4384,4.8768
1998,9,3.048,6.7056
1998,3,10.668,7.3152
1998,7,2.37744,4.2672
1998,8,5.7912,2.1336
1998,1,2.80416,6.7056
1998,4,10.668,4.572
1998,6,6.7056,4.572
1998,9,2.80416,5.4864
1998,9,2.286,5.7912
1998,1,0,0.70104
1998,4,11.2776,4.8768
1998,7,2.31648,3.6576
1998,6,4.8768,3.3528
1998,2,3.6576,4.2672
1998,3,9.144,10.0584
1998,9,3.3528,6.7056
1998,3,9.7536,7.0104
1998,1,2.52984,7.9248
1998,2,3.6576,5.1816
1998,8,6.4008,3.3528
1998,5,3.6576,4.572
1998,9,3.048,6.7056
1998,3,10.0584,4.572
1998,7,2.286,0
1998,7,3.048,0
1998,8,5.4864,2.16408
1998,9,2.5908,6.096
1998,5,3.9624,4.8768
1998,5,3.048,4.572
1998,1,2.7432,5.7912
1998,7,2.4384,0
1999,5,2.92608,5.7912
1999,8,3.9624,0
1999,1,1.524,5.4864
1999,8,3.3528,3.048
1999,7,2.4384,5.1816
1999,9,3.048,6.7056
1999,2,3.6576,2.1336
1999,3,9.7536,9.7536
1999,4,3.6576,7.9248
1999,5,3.048,7.3152
1999,7,2.1336,3.9624
1999,1,1.8288,5.4864
1999,3,9.4488,4.2672
1999,4,5.1816,5.4864
1999,7,3.9624,4.572
1999,8,3.9624,9.7536
1999,5,3.3528,5.7912
1999,2,3.3528,2.1336
1999,4,6.4008,5.7912
1999,9,2.7432,6.096
1999,1,1.8288,3.9624
1999,2,3.3528,1.8288
1999,8,4.2672,2.1336
1999,6,7.3152,7.0104
1999,8,4.2672,12.192
1999,9,3.048,0
1999,9,3.048,6.7056
1999,7,2.4384,4.2672
1999,1,2.1336,4.2672
1999,4,10.0584,4.572
1999,9,3.048,6.4008
1999,3,10.0584,8.8392
1999,7,2.4384,4.2672
1999,4,10.3632,0
1999,8,4.2672,2.1336
1999,6,5.7912,3.6576
1999,7,2.7432,3.9624
1999,6,4.572,3.048
1999,8,3.9624,2.5908
1999,9,3.3528,6.7056
1999,5,3.048,4.8768
1999,3,9.7536,9.144
2000,2,4.572,2.4384
2000,4,6.7056,4.2672
2000,3,9.7536,10.3632
2000,8,4.2672,0
2000,6,6.7056,5.4864
2000,5,3.048,6.096
2000,9,3.048,6.7056
